Company Name,Company rating,Company reviews,Company salaries,Location,Number of Employees,Industry Type,Company Description
Salesforce,4.2,16.4K,22.5K,18 office locations in United States,10000+ Employees,Enterprise Software & Network Solutions,"Salesforce is the customer company. We make cloud-based software designed to help businesses connect to their customers in a whole new way, so they can find more prospects, close more deals, and wow customers with amazing service. Customer 360, our complete suite of products, unites your sales, service, marketing, commerce, and IT teams with a single, shared view of customer information, so that your company can become a customer company, too."
Goldman Sachs,3.9,16.5K,23.8K,16 office locations in United States,10000+ Employees,Investment & Asset Management,"The Goldman Sachs Group, Inc. is a leading global investment banking, securities and investment management firm that provides a wide range of financial services to a substantial and diversified client base that includes corporations, financial institutions, governments and high-net-worth individuals. Founded in 1869, the firm is headquartered in New York and maintains offices in all major financial centers around the world."
T-Mobile,3.8,18.8K,28.4K,United States,10000+ Employees,Telecommunications Services,"T-Mobile disrupted the wireless industry. We reinvented customer service. We brought real 5G to the nation. Now, were shaping the future of technology in wireless and beyond. The work is fast, exciting, and fun. The teams are risk-takers, big idea thinkers, and champions for change. Are you ready to make a huge, meaningful difference for our customers, our communities, our environment, and each other? Lets be #UnstoppableTogether."
Teleperformance,4.2,47K,7.8K,17 office locations in United States,10000+ Employees,Telecommunications Services,"Be part of something bigger. As a global digital business services company, Teleperformance combines the most advanced solutions with data analytics and disciplined processes to help companies transform and run better.  In the end, we just help organizations adapt to change and master the future.  We deliver the most advanced, digitally powered business services to help the worlds best brands streamline their business in meaningful and sustainable ways. With more than 410,000 inspired and passionate people speaking more than 300 languages, our global scale and local presence allow us to be a force of good in supporting our communities, our clients, and the environment. Our high-tech, high-touch approach blends the best of technology and empathy. We thrive in a diverse and inclusive culture that celebrates the differences and strengths of our people. The happiness, well-being, and safety of our employees remain our priority, and we are proud to be an Employer of Choice: 97% of our employees work in a certified Best Place to Work® or Great Place to Work® site. The future of work is here. Are you ready to take a giant leap towards a bigger and brighter career? Well help you get there. Take your career to greater heights with Teleperformance."
ADP,4.0,18.2K,19.2K,18 office locations in United States,10000+ Employees,Enterprise Software & Network Solutions,"Consistently named one of the Most Admired Companies by FORTUNE® Magazine, and recognized by DiversityInc® as one of the Top 50 Companies for Diversity, ADP works with more than 740,000 organizations across the globe to help their people work smarter, embrace new challenges, and unleash their talent. Always Designing for People means were creating platforms that will transform how great work gets done, so together we can unlock a world of opportunity."
Morgan Stanley,4.0,17K,21.4K,17 office locations in United States,10000+ Employees,Investment & Asset Management,"Morgan Stanley mobilizes capital to help governments, corporations, institutions and individuals around the world achieve their financial goals. For over 85 years, the firms reputation for using innovative thinking to solve complex problems has been well earned and rarely matched. A consistent industry leader throughout decades of dramatic change in modern finance, Morgan Stanley will continue to break new ground in advising, serving and providing new opportunities for its clients. Morgan Stanley is committed to maintaining the first-class service and high standard of excellence that have always defined the firm. At its foundation are five core values  putting clients first, doing the right thing, leading with exceptional ideas, committing to diversity and inclusion, and giving back  that guide its more than 80,000 employees in 1,200 offices across 41 countries. Discover what makes Morgan Stanley such a great place to work by using the resources on this page to learn more about our people, our business, and our heritage."
Comcast,3.8,15.4K,23.2K,29 office locations in United States,10000+ Employees,Telecommunications Services,"We connect people to the moments that matter most. Here, youll collaborate with diverse and passionate people to help re-imagine industries, invent new technologies and create extraordinary experiences for our customers. At Comcast NBCUniversal, we are day-doers, adventurers, and visionaries, pioneering the future at the intersection of media and technology. We reimagine industries, invent groundbreaking technology and create extraordinary experiences for millions every day. Its the diverse talents of our people that have propelled us to a Fortune 50 global industry leader. Everyone here has a voice and its the diverse talents of our people that have propelled us forward as a leader in connected experiences. Its what also drives us to make a positive impact and empower change within the communities we serve. We are looking for people that share our passion for innovation to join our team  ready to create their own path and connect the world to amazing moments and experiences. Come create the future with us! Apply today: http://comcastcareers.com."
Boeing,3.9,14.9K,26.5K,25 office locations in United States,10000+ Employees,Aerospace & Defense,"The story of our company is woven together from thousands of individual stories of engineers and technicians. Scientists and thinkers. Innovators and dreamers. Equity, diversity and inclusion are crucial to our employees, our stakeholders, and our communities. These foundational principles are how we create the most innovative aerospace products and services in the world. After all, we go further together. Boeing is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion, national origin, gender, sexual orientation, gender identity, age, physical or mental disability, genetic factors, military/veteran status or other characteristics protected by law."
Chick-fil-A,3.9,19.4K,25.3K,5200 Buffington Rd,5001 to 10000 Employees,Restaurants & Cafes,"Atlanta-based Chick-fil-A, Inc. is a restaurant company known for the Original Chick-fil-A® Chicken Sandwich and signature hospitality. Represented by more than 170,000 Team Members, Operators and Staff, Chick-fil-A restaurants serve guests freshly prepared food at more than 2,700 restaurants in 47 states, Washington, D.C., Puerto Rico and Canada. The family-owned and privately held restaurant company was founded in 1967 by S. Truett Cathy and is committed to serving the local communities in which its franchised restaurants operate. Known for its leadership and growth opportunities, in 2022 Chick-fil-A was named a Best Employer in America by Forbes and a top company for career opportunities for Black employees by Glassdoor. The company was also awarded the Employees Choice by Glassdoor honoring top CEOs and was named a Culture 500 Culture Champion in 2020. A leader in customer service, Chick-fil-A was named QSR magazines Drive-Thru Restaurant of the Year in 2021. More information on Chick-fil-A is available at www.chick-fil-a.com and @ChickfilANews."
Whole Foods Market,3.5,17.7K,24.7K,United States,10000+ Employees,Grocery Stores,"Whole Foods was founded on the belief that where food comes from, and how its grown, matters. It meant creating quality standards, working with suppliers who achieve them, and sharing that information with our customers. And it radically changed the way people understood and shopped for food. The result has been the highest quality natural and organic products; an unmatched experience in more than 500 stores with a passionate team of over 90,000 Team Members; three foundations that focus on improving the livelihoods of communities on a local and global scale; and millions of customers who put their trust in us every day. Since day one, weve been dedicated to building the best workplace for all 90,000+ of our Team Members. When you work at Whole Foods, we take care of you. See for yourself by reading their stories on Instagram @wholefoodscareers."
State Farm,3.6,16.4K,24.1K,28 office locations in United States,10000+ Employees,Insurance Carriers,"Being a good neighbor is about more than just being there when things go completely wrong. It's also about being there for all of life's moments when things go perfectly right. With a passion for serving customers and giving back in our communities, we've been doing well by doing good for almost 100 years. And we're happy you decided to get to know us better."
Aerotek,3.6,7.7K,35.4K,25 office locations in United States,5001 to 10000 Employees,HR Consulting,"We know youre looking for more than just a job or a worker. As a job seeker, youre looking for work that makes a difference and as an employer, youre looking for people who deliver. Aeroteks people-focused approach connects great people and great organizations and has been recognized year after year with ClearlyRated's Best of Staffing® Client and Talent awards. For more than 35 years, Aerotek® Inc. has built a reputation for providing the highest-quality staffing and workforce management solutions. Carrying our reputation forward, Aerotek has focused its deep expertise in connecting light industrial and skilled trades talent with clients in the manufacturing, logistics and construction industries across North America. Aeroteks 2,400 internal employees serve more than 200,000 contract employees and 13,000 clients every year. When you work with Aerotek, youll understand why we say: Our People Are Everything. To learn more, visit Aerotek.com."
Lockheed Martin,4.1,12.4K,26.7K,25 office locations in United States,10000+ Employees,Aerospace & Defense,"At Lockheed Martin, we dont just think big thoughts. We get things done. And we're bringing together the best minds in the industry to do it. From our Advanced Development Programs, also known as the Skunk Works® to advances in renewable energy, we're always adapting, always innovating, and always figuring out ways to meet the needs of the real challenges our customers face. If you're ready to solve problems that don't have quick answers, check us out."
